term	df
migratori	6252
headwat	4804
scott	69153
sourc	222470
tract	19425
bridg	114307
beam	28365
bottomland	536
paddl	5703
quadrangl	2631
wetland	11062
northwest	68720
slab	8202
favorit	44698
countrysid	18617
easement	1298
test	153901
creek	53847
trace	62207
newton	16360
tree	110506
natur	280930
hull	27419
pre	135869
guidanc	29030
skin	42151
contribut	234589
narrat	30322
polici	138725
beyond	104600
sex	64783
although	462420
marriag	105724
birth	91966
murder	94416
econom	171258
pride	23933
epithet	10156
ethnic	52021
contin	28508
engag	148557
distinct	133550
assum	107211
children	371057
manual	34673
prototyp	27520
cruz	16316
linguist	24024
pronunci	8054
adolesc	12779
imagin	40061
teach	133930
kind	120465
environ	113768
date	279277
darker	13914
disinterest	1399
dialect	22450
inferior	14030
exclud	42009
similar	300039
govern	429553
gang	32638
motiv	54189
academ	106605
commun	436767
endow	22479
practic	247292
flamboy	3489
view	226805
influenc	212237
navig	38939
social	232711
poor	119940
oligarchi	1101
growth	99563
hang	41807
teen	28150
stigma	4793
higher	172824
specif	217148
demograph	16512
consequenti	1639
stereotyp	13471
dress	59834
novelist	22312
access	192714
individu	256290
unmistak	2256
inhibit	14413
depress	53387
male	152980
understand	105554
dispar	9542
confid	46508
spain	85000
hawaii	22603
regularli	76872
unemploy	22059
mai	5264
difficulti	73656
lgbt	8735
playwright	18398
relat	317101
somewhat	61931
explicitli	20774
phenotyp	4300
bodi	243036
job	142014
intellig	69527
root	78114
western	266656
rather	220082
crime	83146
frame	68837
sentiment	21842
farm	120204
modern	257810
gay	29779
instruct	73146
propel	26816
term	332159
strongest	19380
fellowship	31347
come	376853
attribut	77521
grappl	3556
segreg	12746
student	255997
immigr	69498
societi	248993
mediat	20203
strong	189673
charli	29806
repress	13331
aspir	26086
wave	65044
appli	154382
typic	163213
cultur	234314
prompt	48288
nativ	177277
innoc	28683
coloni	93550
token	7566
regard	188673
boyfriend	16601
tension	38452
passag	55234
activ	416117
parent	168922
mr	120481
retain	122796
commit	122459
quiet	24471
ident	108748
reprint	15845
openli	21505
declin	117018
hurl	6831
rest	194905
subjug	4055
donna	9025
separ	248812
transgend	5213
queer	4343
remain	532077
employ	176051
subject	198527
adjust	38890
reunif	4555
depth	54494
past	181091
congress	88818
da	47781
poetri	43103
teacher	130776
reflect	122934
tradit	263390
administr	214395
hesit	11891
commiss	228664
press	172829
respect	239097
street	253189
lesbian	11359
gender	43121
immov	841
plainli	1925
sexual	62631
blame	36836
terrifi	7152
storytel	10401
weak	48388
countless	8648
manner	68115
grade	99617
exampl	267942
perspect	43635
surround	171506
anniversari	67623
dog	54847
mid	214200
peer	33154
strengthen	41456
verbal	14549
repres	394621
violenc	53294
pidgin	860
manila	13165
repeatedli	33687
strata	4840
histor	267411
stress	45090
complac	1589
authent	23445
report	362648
hawaiian	8505
vignett	2753
heighten	7913
colon	17625
encourag	114881
poorer	5635
escapad	1178
broader	20309
pattern	80049
pay	131511
filipino	13032
plantat	22832
island	225078
yet	146356
friendship	37012
aspect	90700
homophobia	2032
depict	86891
promiscu	2412
awar	71551
portion	107864
protagonist	25603
norm	21087
assimil	10841
arriv	222674
counterpart	30068
domin	122699
honolulu	6304
mindset	2873
descript	61769
statu	165794
greater	127496
usag	35115
linear	27249
caucasian	5240
larger	150765
stem	44101
ridicul	12962
incom	102145
husband	139614
geographi	17578
pop	81411
present	476861
ms	22778
rey	12563
recogn	145396
inequ	9891
though	315480
hierarchi	14182
physic	150352
homosexu	13198
evid	145271
permeat	2854
demand	130847
relic	11453
addit	478594
address	112721
tagalog	2281
bilingu	8744
reinforc	43800
antagonist	11887
katherin	10643
shame	10752
health	162980
popul	259008
afford	38008
backlash	6055
relationship	153566
trait	17371
maintain	192857
lie	133179
cowork	2542
demonstr	109920
fact	184365
told	118719
masculin	7132
mean	298885
katrina	5746
mainstream	38563
fit	109126
fluent	9478
unabl	101401
skyrocket	1846
prone	14166
refer	344237
favor	97949
proper	56494
actual	177574
constitut	115443
symbol	75897
democrat	105548
discourag	14854
femal	184912
collect	302081
embodi	14191
learn	185997
gain	215834
opinion	67391
ingrain	1100
creol	4043
unsaf	5694
mythic	8937
label	116327
standard	206051
lack	170253
spoken	37579
room	167558
eat	47660
research	261913
explor	110428
bottom	63529
mom	7311
adult	99348
novel	118086
author	380127
philippin	39962
justifi	25166
ruptur	6448
feder	191620
switch	76833
mental	50071
poet	63143
demeanor	2455
intellectu	42738
accept	207512
racism	11578
ignor	48290
self	154582
stray	6818
mirror	34285
wive	15677
gossip	6212
proport	41163
violent	45788
exist	291429
urg	40250
partial	76270
thread	13920
rural	81711
unspecifi	6223
essenti	85653
ascend	19558
fear	84673
exhibit	128209
classroom	27011
import	353809
edgar	15310
creativ	67311
lin	7553
due	502608
labor	61043
interact	80071
recent	276560
factor	95063
narr	36403
correct	63949
vestig	2855
sleep	41007
excess	47159
consequ	88651
ben	50469
sydney	53830
intent	96883
tie	117611
confer	160060
renew	60089
cite	103797
australian	113031
alexandra	10627
keeper	15654
spell	63787
loan	59193
croatian	11161
kyle	11716
wander	24063
initi	402264
perman	117596
fc	33922
crew	85384
wale	80107
goalkeep	13168
hand	293291
cafeteria	5526
build	423327
bowl	53416
busi	306942
simon	52587
bag	23864
hero	63011
cash	40114
believ	240624
news	157046
deliv	105995
policemen	5774
salari	26863
anyon	50636
memori	159665
pier	17454
banquet	8121
fund	202302
christoph	46242
undercov	7365
afraid	14078
censorship	9899
contemporari	122252
israel	46353
jacob	31462
nigger	1164
weigh	32205
disc	39751
sit	86836
treati	48241
money	156101
lifelong	17373
lebanon	15473
hunter	40086
heard	77585
speech	69643
port	109088
celebr	163700
antisemit	3986
fed	24453
display	127971
moral	52664
brutal	21728
zionism	2053
profit	91443
singer	132761
met	192347
surveil	15466
honorari	53616
focu	121905
coffe	22640
saint	129948
insist	48098
yiddish	3634
aviv	8814
jewish	61955
tel	14772
speaker	61495
york	341228
nearli	157119
wake	42031
togeth	355309
peac	104914
honor	156382
intercept	23454
godfath	5103
bastard	3935
hama	2869
chariti	50119
ban	65804
transfer	195114
nbc	27590
quick	36746
hotel	87474
enlist	37546
confisc	14997
someon	90504
trade	186404
jew	31836
ship	142270
nightclub	13335
bar	114602
circul	39015
palestin	15324
kill	224668
net	54267
museum	144122
coincid	35557
frank	83954
bureau	77495
statement	81480
zionist	4630
cameo	16284
dramat	63611
chicago	101713
might	132966
cd	65352
privat	242963
toler	29887
holocaust	10961
freedom	77458
struck	51328
campu	66656
membership	53010
partit	16599
highlight	64295
note	309740
void	12159
jerusalem	22122
librari	114447
nanci	17867
kid	46880
wind	71495
lade	596
union	215406
guinea	21024
righteou	4319
bear	105149
greec	35607
medallion	4223
paper	130626
wore	24741
dilemma	5876
munit	6668
registri	9635
convent	119045
swan	13697
hundr	127371
bring	181268
golf	32316
parad	28718
itali	111083
besid	70407
minist	164857
satchel	712
bond	50895
coupl	166131
express	185210
dirti	14750
appl	25853
concert	92186
visit	227097
academi	168726
spoke	49724
bill	143518
exert	12601
beirut	5965
friendli	55494
materi	189757
clandestin	6131
sympath	5895
plane	48856
scopu	672
shipment	10498
priest	56436
cast	129903
acknowledg	53172
sang	32573
genocid	8066
isra	24907
offic	461189
boycott	8832
activist	53583
wop	1418
embargo	3623
persecut	18519
behalf	47753
paramilitari	6552
sum	41150
restrict	85193
ralli	31438
yom	2274
billboard	48675
middl	208339
pledg	21208
captain	132127
valet	2234
ensu	31510
virtual	56200
cocktail	5140
dedic	137330
donat	82142
charm	20552
cairo	11570
multin	8538
ratif	4562
limit	265283
watch	102725
birthday	43133
neighbor	55764
brotherhood	8884
prime	96709
egypt	36426
teddi	6238
terrorist	21716
jack	75319
yell	6970
religi	112783
smuggl	11897
punch	19704
sack	25965
hebrew	20669
pageant	7100
paulista	1232
loss	163405
rescind	4973
pro	78192
striker	14439
paid	101560
